"id","municipio","id_departamento"
"0505",Masagua,"05"
"0506",Tiquisate,"05"
"0507",La Gomera,"05"
"0508",Guanagazapa,"05"
"0509",San José,"05"
"0510",Iztapa,"05"
"0511",Palín,"05"
"0512",San Vicente Pacaya,"05"
"0513",Nueva Concepción,"05"
"0514",Sipacate,"05"
"0601",Cuilapa,"06"
"0602",Barberena,"06"
"0603",Santa Rosa de Lima,"06"
"0604",Casillas,"06"
"0605",San Rafael las Flores,"06"
"0606",Oratorio,"06"
"0607",San Juan Tecuaco,"06"
"0608",Chiquimulilla,"06"
"0609",Taxisco,"06"
"0610",Santa María Ixhuatán,"06"
"0611",Guazacapán,"06"
"0612",Santa Cruz Naranjo,"06"
"0613",Pueblo Nuevo Viñas,"06"
"0614",Nueva Santa Rosa,"06"
"0701",Sololá,"07"
"0702",San José Chacayá,"07"
"0703",Santa María Visitación,"07"
"0704",Santa Lucía Utatlán,"07"
"0705",Nahualá,"07"
"0706",Santa Catarina Ixtahuacán,"07"
"0707",Santa Clara la Laguna,"07"
"0708",Concepción,"07"
"0709",San Andrés Semetabaj,"07"
"0710",Panajachel,"07"
"0711",Santa Catarina Palopó,"07"
"0712",San Antonio Palopó,"07"
"0713",San Lucas Tolimán,"07"
"0714",Santa Cruz la Laguna,"07"
"0715",San Pablo la Laguna,"07"
"0716",San Marcos la Laguna,"07"
"0717",San Juan la Laguna,"07"
"0718",San Pedro la Laguna,"07"
"0719",Santiago Atitlán,"07"
"0801",Totonicapán,"08"
"0802",San Cristóbal Totonicapán,"08"
"0803",San Francisco el Alto,"08"
"0804",San Andrés Xecul,"08"
"0805",Momostenango,"08"
"0806",Santa María Chiquimula,"08"
"0807",Santa Lucía la Reforma,"08"
"0808",San Bartolo,"08"
"0901",Quetzaltenango,"09"
"0902",Salcajá,"09"
"0903",Olintepeque,"09"
"0904",San Carlos Sija,"09"
"0905",Sibilia,"09"
"0906",Cabricán,"09"
"0907",Cajolá,"09"
"0908",San Miguel Siguilá,"09"
"0909",Ostuncalco,"09"
"0910",San Mateo,"09"
"0911",Concepción Chiquirichapa,"09"
"0912",San Martín Sacatepéquez,"09"
"0913",Almolonga,"09"
"0914",Cantel,"09"
"0915",Huitán,"09"
"0916",Zunil,"09"
"0917",Colomba,"09"
"0918",San Francisco la Unión,"09"
"0919",El Palmar,"09"
"0920",Coatepeque,"09"
"0921",Génova,"09"
"0922",Flores Costa Cuca,"09"
"0923",La Esperanza,"09"
"0924",Palestina de los Altos,"09"
"1001",Mazatenango,"10"
"1002",Cuyotenango,"10"
"1003",San Francisco Zapotitlán,"10"
"1004",San Bernardino,"10"
"1005",San José el Idolo,"10"
"1006",Santo Domingo Suchitepéquez,"10"
"1007",San Lorenzo,"10"
"1008",Samayac,"10"
"1009",San Pablo Jocopilas,"10"
"1010",San Antonio Suchitepéquez,"10"
"1011",San Miguel Panán,"10"
"1012",San Gabriel,"10"
"1013",Chicacao,"10"
"1014",Patulul,"10"
"1015",Santa Bárbara,"10"
"1016",San Juan Bautista,"10"
"1017",Santo Tomás la Unión,"10"
"1018",Zunilito,"10"
"1019",Pueblo Nuevo,"10"
"1020",Río Bravo,"10"
"1021",San José La Máquina,"10"
"1101",Retalhuleu,"11"
"1102",San Sebastián,"11"
"1103",Santa Cruz Muluá,"11"
"1104",San Martín Zapotitlán,"11"
"1105",San Felipe,"11"
"1106",San Andrés Villa Seca,"11"
"1107",Champerico,"11"
"1108",Nuevo San Carlos,"11"
"1109",El Asintal,"11"
"1201",San Marcos,"12"
"1202",San Pedro Sacatepéquez,"12"
"1203",San Antonio Sacatepéquez,"12"
"1204",Comitancillo,"12"
"1205",San Miguel Ixtahuacán,"12"
"1206",Concepción Tutuapa,"12"
"1207",Tacaná,"12"
"1208",Sibinal,"12"
"1209",Tajumulco,"12"
"1210",Tejutla,"12"
"1211",San Rafael Pié de la Cuesta,"12"
"1212",Nuevo Progreso,"12"
"1213",El Tumbador,"12"
"1214",El Rodeo,"12"
"1215",Malacatán,"12"
"1216",Catarina,"12"
"1217",Ayutla,"12"
"1218",Ocós,"12"
"1219",San Pablo,"12"
"1220",El Quetzal,"12"
"1221",La Reforma,"12"
"1222",Pajapita,"12"
"1223",Ixchiguán,"12"
"1224",San José Ojetenán,"12"
"1225",San Cristóbal Cucho,"12"
"1226",Sipacapa,"12"
"1227",Esquipulas Palo Gordo,"12"
"1228",Río Blanco,"12"
"1229",San Lorenzo,"12"
"1230",La Blanca,"12"
"1301",Huehuetenango,"13"
"1302",Chiantla,"13"
"1303",Malacatancito,"13"
"1304",Cuilco,"13"
"1305",Nentón,"13"
"1306",San Pedro Necta,"13"
"1307",Jacaltenango,"13"
"1308",Soloma,"13"
"1309",Ixtahuacán,"13"
"1310",Santa Bárbara,"13"
"1311",La Libertad,"13"
"1312",La Democracia,"13"
"1313",San Miguel Acatán,"13"
"1314",San Rafael la Independencia,"13"
"1315",Todos Santos Cuchumatán,"13"
"1316",San Juan Atitán,"13"
"1317",Santa Eulalia,"13"
"1318",San Mateo Ixtatán,"13"
"1319",Colotenango,"13"
"1320",San Sebastián Huehuetenango,"13"
"1321",Tectitán,"13"
"1322",Concepción Huista,"13"
"1323",San Juan Ixcoy,"13"
"1324",San Antonio Huista,"13"
"1325",San Sebastián Coatán,"13"
"1326",Barillas,"13"
"1327",Aguacatán,"13"
"1328",San Rafael Petzal,"13"
"1329",San Gaspar Ixchil,"13"
"1330",Santiago Chimaltenango,"13"
"1331",Santa Ana Huista,"13"
"1332",Unión Cantinil,"13"
"1333",Petatán,"13"
"1401",Santa Cruz del Quiché,"14"
"1402",Chiché,"14"
"1403",Chinique,"14"
"1404",Zacualpa,"14"
"1405",Chajul,"14"
"1406",Chichicastenango,"14"
"1407",Patzité,"14"
"1408",San Antonio Ilotenango,"14"
"1409",San Pedro Jocopilas,"14"
"1410",Cunén,"14"
"1411",San Juan Cotzal,"14"
"1412",Joyabaj,"14"
"1413",Nebaj,"14"
"1414",San Andrés Sajcabajá,"14"
"1415",Uspantán,"14"
"1416",Sacapulas,"14"
"1417",San Bartolomé Jocotenango,"14"
"1418",Canillá,"14"
"1419",Chicamán,"14"
"1420",Ixcán,"14"
"1421",Pachalum,"14"
"1501",Salamá,"15"
"1502",San Miguel Chicaj,"15"
"1503",Rabinal,"15"
"1504",Cubulco,"15"
"1505",Granados,"15"
"1506",El Chol,"15"
"1507",San Jerónimo,"15"
"1508",Purulhá,"15"
"1601",Cobán,"16"
"1602",Santa Cruz Verapaz,"16"
"1603",San Cristóbal Verapaz,"16"
"1604",Tactic,"16"
"1605",Tamahú,"16"
"1606",Tucurú,"16"
"1607",Panzós,"16"
"1608",Senahú,"16"
"1609",San Pedro Carchá,"16"
"1610",San Juan Chamelco,"16"
"1611",Lanquín,"16"
"1612",Cahabón,"16"
"1613",Chisec,"16"
"1614",Chahal,"16"
"1615",Fray Bartolomé de las Casas,"16"
"1616",Santa Catalina la Tinta,"16"
"1617",Raxruhá,"16"
"1701",Flores,"17"
"1702",San José,"17"
"1703",San Benito,"17"
"1704",San Andrés,"17"
"1705",La Libertad,"17"
"1706",San Francisco,"17"
"1707",Santa Ana,"17"
"1708",Dolores,"17"
"1709",San Luis,"17"
"1710",Sayaxché,"17"
"1711",Melchor de Mencos,"17"
"1712",Poptún,"17"
"1713",Las Cruces,"17"
"1714",El Chal,"17"
"1801",Puerto Barrios,"18"
"1802",Livingston,"18"
"1803",El Estor,"18"
"1804",Morales,"18"
"1805",Los Amates,"18"
"1901",Zacapa,"19"
"1902",Estanzuela,"19"
"1903",Río Hondo,"19"
"1904",Gualán,"19"
"1905",Teculután,"19"
"1906",Usumatlán,"19"
"1907",Cabañas,"19"
"1908",San Diego,"19"
"1909",La Unión,"19"
"1910",Huité,"19"
"1911",San Jorge,"19"
"2001",Chiquimula,"20"
"2002",San José La Arada,"20"
"2003",San Juan Ermita,"20"
"2004",Jocotán,"20"
"2005",Camotán,"20"
"2006",Olopa,"20"
"2007",Esquipulas,"20"
"2008",Concepción Las Minas,"20"
"2009",Quetzaltepeque,"20"
"2010",San Jacinto,"20"
"2011",Ipala,"20"
"2101",Jalapa,"21"
"2102",San Pedro Pinula,"21"
"2103",San Luis Jilotepeque,"21"
"2104",San Manuel Chaparrón,"21"
"2105",San Carlos Alzatate,"21"
"2106",Monjas,"21"
"2107",Mataquescuintla,"21"
"2201",Jutiapa,"22"
"2202",El Progreso,"22"
"2203",Santa Catarina Mita,"22"
"2204",Agua Blanca,"22"
"2205",Asunción Mita,"22"
"2206",Yupiltepeque,"22"
"2207",Atescatempa,"22"
"2208",Jerez,"22"
"2209",El Adelanto,"22"
"2210",Zapotitlán,"22"
"2211",Comapa,"22"
"2212",Jalpatagua,"22"
"2213",Conguaco,"22"
"2214",Moyuta,"22"
"2215",Pasaco,"22"
"2216",San José Acatempa,"22"
"2217",Quesada,"22"
"2300",Extranjero,"23"
"9999",Ignorado,"99"
